texture_class,hydrologic_soil_group,sand_pct,silt_pct,clay_pct,bulk_density_g_cm3,total_porosity,field_capacity_porosity,wilting_point_porosity,available_water_capacity,ksat_cm_day,ksat_in_hr,k_fc_cm_day,k_wp_cm_day,theta_r,vg_alpha_1cm,vg_n,k0_cm_day,mualem_L,implausible_bd
sandy clay loam,C,60,13,27,1.1,0.5089529276990777,0.330167803874055,0.16032972863109826,0.16983807524295672,93.74584450779354,1.5378255332643296,0.006781477308959201,6.746087948131285e-07,0.10316179099038678,0.013305762347893749,1.3700081624753422,3.97443803041949,-0.7866836505417645,False
sandy clay loam,C,60,13,27,1.2,0.4839837127546068,0.3132877588377749,0.1541935805313699,0.159094178306405,66.54110077284359,1.0915534903681692,0.00626445503782084,6.682792485791604e-07,0.10094215399676268,0.013625695619909887,1.3708518982338076,3.7418706663440067,-0.8430173563190604,False
sandy clay loam,C,60,13,27,1.3,0.4589144119405412,0.29801663033132497,0.1494462640891524,0.14857036624217257,45.80515447475334,0.7513968909900481,0.005869984802753518,7.044033520900768e-07,0.09896224292935966,0.013935828613386752,1.3676423127753787,3.5505662537732032,-0.9207234230384015,False
sandy clay loam,C,60,13,27,1.4,0.4335648891068072,0.28456815591861445,0.14631519847226263,0.13825295744635183,30.569140449189618,0.5014622777098035,0.005527487562093864,7.87267617119471e-07,0.09720412092085402,0.014220685990650444,1.358756187869595,3.371409843595607,-1.0225739174097361,False
sandy clay loam,C,60,13,27,1.5,0.40777146615110765,0.2732684461838168,0.14530969477809694,0.12795875140571986,19.68658029244558,0.3229425900991729,0.005207089418190765,9.406992819343023e-07,0.09568125007831381,0.014475751047576297,1.341703018107266,3.2119766813214943,-1.1589692829729121,False
sandy clay loam,C,60,13,27,1.6,0.38129839137363275,0.26447998250256527,0.14734077689908218,0.1171392056034831,12.022055818072717,0.197212201740038,0.004922703800840641,1.2395287797497178e-06,0.09445185094245269,0.014697999149387455,1.3133114573221465,3.1109299455358452,-1.3628150994740524,False
sandy clay loam,C,60,13,27,1.7,0.3541575162217673,0.25724423257393264,0.15233281331042015,0.1049114192635125,6.9184238810015115,0.11349120539700643,0.004815752309748711,1.8828635291280853e-06,0.09362023310334248,0.014890386002329175,1.2754554604179198,3.1656405059585064,-1.6970092927418658,False
sandy clay loam,C,60,13,27,1.8,0.3271964350843022,0.24874813584233557,0.15726256520586043,0.09148557063647514,3.9745102480344436,0.06519865892444954,0.005209531793788907,3.3245149140878646e-06,0.09319699083067488,0.015105028197887064,1.2388272384011445,3.5717253704443768,-2.19472989506414,True
sandy clay loam,C,60,13,27,1.9,0.3013667904276968,0.23742640382915714,0.15908575697251864,0.0783406468566385,2.4444169095222597,0.04009870258402657,0.0064842799765353525,6.577715067297978e-06,0.09302757866792423,0.015500096215155957,1.2107572546959497,4.639651389538549,-2.808827567753366,True
clay loam,D,30,35,35,0.8,0.5992184728850953,0.4480563253074328,0.20453595890145795,0.24352036640597483,215.57683927165587,3.536365473616402,0.01634845131033605,8.403452260151229e-07,0.1211565735304478,0.006708499460965158,1.3785951475091303,2.6106757560721574,-0.20181059743788168,False
clay loam,D,30,35,35,0.9,0.5701044861783471,0.4267975731930837,0.19626566714409455,0.23053190604898915,137.80960421987464,2.260656237202668,0.012837390658140161,6.419157061074512e-07,0.1178785305872435,0.006702803392874159,1.3800062171265168,2.0490845393065147,-0.18861659087173024,False
clay loam,D,30,35,35,1.0,0.5419017772154071,0.4056412863904555,0.1893097308883216,0.2163315555021339,85.47658327870978,1.4021749225510134,0.010458379413145532,5.60055882075196e-07,0.11536116069930819,0.00682417888482195,1.3784950791758233,1.712874224745225,-0.23661844593689274,False
clay loam,D,30,35,35,1.1,0.5143624166072668,0.38537400063328403,0.18373458084312147,0.20163941979016256,51.959262469855695,0.8523501061328034,0.00887342238471164,5.42649806019608e-07,0.11343245904539291,0.007007603843981483,1.3739019853141456,1.5111166367609465,-0.31962248231259505,False
clay loam,D,30,35,35,1.2,0.487282303425835,0.3663349085824475,0.17947338132776303,0.18686152725468447,31.20740079360939,0.5119324277166895,0.0077733504116132245,5.634557171709898e-07,0.1119617039282938,0.00721044354606735,1.3661801803540299,1.3856892141168529,-0.4181107137429735,False
clay loam,D,30,35,35,1.3,0.46052639142011803,0.34859065733220984,0.17643941957108905,0.1721512377611208,18.635916554004673,0.3057072925525701,0.006947765362233207,6.166828848540859e-07,0.11083475487108992,0.007409058017015955,1.3551369664736235,1.2991346498964071,-0.5302132944074464,False
clay loam,D,30,35,35,1.4,0.4340033321569684,0.3320906122053433,0.17465065930365437,0.15743995290168894,11.137230259970183,0.18269734678428778,0.00626479890247829,7.080885979500704e-07,0.10995506227397556,0.007597771260510141,1.340115537992083,1.2324666147038317,-0.6630173894548618,False
clay loam,D,30,35,35,1.5,0.4076491723179397,0.3167357264764649,0.17425313511884816,0.14248259135761676,6.6932943268038825,0.10979813528221592,0.005671709890898848,8.575245626438704e-07,0.10927588530713851,0.007786370767867256,1.3201092765169313,1.1860805154063563,-0.8296373562966342,False
clay loam,D,30,35,35,1.6,0.3813389925853509,0.3023749906947138,0.17552492362428485,0.12685006707042895,4.037301644577924,0.06622870151866672,0.005165566936427874,1.1168821236774308e-06,0.10881158245689226,0.0079972667736816,1.293884877940489,1.1739849090374115,-1.0584582132200093,False
clay loam,D,30,35,35,1.7,0.35512231663781757,0.2885232347035881,0.17814246544110607,0.11038076926248203,2.4471031937626724,0.040142768926553024,0.004835585895954214,1.6139146288106904e-06,0.10865655234721189,0.008261022881688215,1.2625999112441997,1.228119846042254,-1.399146116438933,False
clay loam,D,30,35,35,1.8,0.32957815079509173,0.2744703940175796,0.1805588256153557,0.09391156840222392,1.5242086806237465,0.02500342323857852,0.004887810123620907,2.638471793416671e-06,0.10891757537288706,0.008604285487931393,1.2313601852663827,1.411517321658919,-1.8902044214961566,True
clay loam,D,30,35,35,1.9,0.3051349846305642,0.25968384617193996,0.1812108936614184,0.07847295251052155,1.0093263973062205,0.016557191556860574,0.005568209101097587,4.888618398565727e-06,0.1096292783134621,0.009096282250136083,1.204294884463291,1.8483870605327,-2.5367643349124087,True
silty clay loam,D,10,56,34,0.8,0.6093837599190601,0.47894088467927554,0.19905131409918367,0.2798895705800919,229.20944067337365,3.7599973863742395,0.03301009404397273,8.501445784033277e-07,0.12165316462388137,0.004541192624271438,1.4359130188920035,2.1580622857505674,0.12882481948498437,False
