code,texture,horizon,depth_upper,depth_lower,bulk_density_g_cm3,OM_content,OC_pct,is_mineral
4032,silt loam,B2t,50.0,93.0,1.5,0.44,0.2552,True
4033,silt loam,B3,0.0,93.0,1.52,0.18,0.10439999999999999,True
4040,silt loam,Ap,0.0,30.0,1.54,1.58,0.9164,True
4041,silt loam,B2t,30.0,50.0,1.54,0.73,0.42339999999999994,True
4042,silt loam,B3,50.0,70.0,1.5,0.34,0.19720000000000001,True
4043,silt loam,C,,,1.53,0.46,0.2668,True
4050,loamy sand,A2,0.0,12.0,1.27,3.26,1.8907999999999998,True
4051,sand,Bh,12.0,26.0,1.44,0.65,0.377,True
4052,sand,C,26.0,70.0,1.6,0.18,0.10439999999999999,True
4060,sand,Ap,0.0,20.0,1.49,2.59,1.5021999999999998,True
4061,sand,A2,20.0,40.0,1.68,0.36,0.20879999999999999,True
4062,loamy sand,Bh,65.0,85.0,1.68,0.32,0.1856,True
4070,silt loam,Ap,0.0,30.0,1.51,1.49,0.8642,True
4071,silt loam,B2t,40.0,60.0,1.47,0.42,0.24359999999999998,True
4080,silt loam,Ap,0.0,25.0,1.44,1.6,0.9279999999999999,True
4081,silt loam,B2g,40.0,60.0,1.51,0.5,0.29,True
4082,silt loam,B3,60.0,90.0,1.49,0.2,0.11599999999999999,True
4090,silt loam,Ap,0.0,40.0,1.49,0.96,0.5568,True
4091,silt loam,A/B,45.0,65.0,1.43,0.32,0.1856,True
4092,silt loam,B2g,65.0,85.0,1.47,0.31,0.1798,True
4100,sandy loam,Ap,0.0,25.0,1.64,1.53,0.8874,True
4101,loam,C1,25.0,80.0,1.5,0.77,0.4466,True
4102,loam,C2,,,1.53,0.44,0.2552,True
4110,sandy loam,Ap,0.0,25.0,1.51,1.35,0.783,True
4111,sandy loam,C1,25.0,80.0,1.66,1.29,0.7482,True
4112,sandy loam,C2,80.0,100.0,1.48,0.31,0.1798,True
4120,clay,Ap,0.0,23.0,1.24,2.58,1.4964,True
4121,clay,C1,23.0,46.0,1.11,1.39,0.8061999999999999,True
4130,loamy sand,Ap,0.0,30.0,1.48,2.67,1.5485999999999998,True
4131,sand,B2,30.0,43.0,1.61,0.45,0.261,True
4132,sand,B3,43.0,68.0,1.71,0.14,0.08120000000000001,True
4140,sand,Ap,0.0,33.0,1.36,2.2,1.276,True
4141,sand,A/B,33.0,63.0,1.39,0.98,0.5683999999999999,True
4142,sand,C1g,63.0,85.0,1.63,0.18,0.10439999999999999,True
4150,sand,Ap,0.0,35.0,1.39,3.89,2.2561999999999998,True
