texture_class,sand_pct,silt_pct,clay_pct,bulk_density_g_cm3,total_porosity,field_capacity_porosity,wilting_point_porosity,available_water_capacity
sandy loam,65,25,10,1.9,0.2840304240158502,0.17859845257180973,0.09519523331648158,0.08340321925532815
sandy loam,65,25,10,2.0,0.2639019396601209,0.17072908828475142,0.09601254666228044,0.07471654162247097
loam,40,40,20,0.8,0.5592519286617336,0.42069514631659854,0.16267032659656516,0.2580248197200334
loam,40,40,20,0.9,0.5301261033317053,0.3953781114432253,0.15410168346038777,0.24127642798283755
loam,40,40,20,1.0,0.5024254792756224,0.370945697479124,0.14697575822583803,0.22396993925328595
loam,40,40,20,1.1,0.4760629414430668,0.3478478583291622,0.14117014082797472,0.2066777175011875
loam,40,40,20,1.2,0.450928304060135,0.32646482570357727,0.13656440812597015,0.18990041757760712
loam,40,40,20,1.3,0.42685314565674876,0.30708738295804283,0.13307737218747373,0.1740100107705691
loam,40,40,20,1.4,0.40362008308973896,0.2898086129086954,0.13068866364840104,0.15911994926029438
loam,40,40,20,1.5,0.3809554021993132,0.27459822779763415,0.12954718003024235,0.1450510477673918
loam,40,40,20,1.6,0.35848529581534283,0.26150159392500305,0.1301910612174001,0.13131053270760296
loam,40,40,20,1.7,0.33603212038280905,0.25015399815166733,0.1328101794940858,0.11734381865758153
loam,40,40,20,1.8,0.31399491664844137,0.23940981273113368,0.13610629426360427,0.10330351846752941
loam,40,40,20,1.9,0.29260057395405237,0.2282619846567756,0.13852291187674842,0.08973907278002718
loam,40,40,20,2.0,0.272277193315801,0.21619986349382175,0.13893144297485888,0.07726842051896288
silt loam,20,65,15,0.8,0.5568754288833548,0.45824335821722817,0.14567600441349404,0.3125673538037341
silt loam,20,65,15,0.9,0.5269626292624365,0.4309906309119738,0.13778416153960418,0.2932064693723696
silt loam,20,65,15,1.0,0.4992012532210762,0.4041102472261982,0.1309713757407537,0.27313887148544447
silt loam,20,65,15,1.1,0.47342758847827004,0.3782713538205721,0.12527110988293969,0.25300024393763243
silt loam,20,65,15,1.2,0.4494033260776566,0.35386974275984956,0.12068971429754763,0.23318002846230193
silt loam,20,65,15,1.3,0.4268056269288202,0.33113321533798135,0.11718023304568406,0.21395298229229728
silt loam,20,65,15,1.4,0.40524099593174595,0.3102184381663784,0.11472453459652339,0.19549390356985502
silt loam,20,65,15,1.5,0.38427983313055847,0.29124308316538317,0.11344775765198513,0.17779532551339805
silt loam,20,65,15,1.6,0.3635520873992992,0.27414731857815866,0.11353654631985641,0.16061077225830225
silt loam,20,65,15,1.7,0.3429413225277107,0.25860817834162103,0.11489044796859466,0.14371773037302638
silt loam,20,65,15,1.8,0.32273138740339147,0.2440452745278416,0.11679799840756375,0.12724727612027786
silt loam,20,65,15,1.9,0.3031183095794415,0.22978336309452163,0.11845744573798084,0.1113259173565408
silt loam,20,65,15,2.0,0.2842869125681911,0.21499028039000206,0.1189636333603026,0.09602664702969946
silt,7,88,5,0.8,0.5618079602197238,0.35133105794412667,0.1026068105363717,0.24872424740775495
silt,7,88,5,0.9,0.533024701335271,0.3801791758155164,0.10231992080291355,0.2778592550126029
silt,7,88,5,1.0,0.5064566134162652,0.3769616191518343,0.09985147900975587,0.2771101401420784
silt,7,88,5,1.1,0.4819396682237583,0.36129179612394396,0.09647400381250656,0.2648177923114374
silt,7,88,5,1.2,0.4591845834900028,0.340923568589631,0.09304781563859377,0.24787575295103725
silt,7,88,5,1.3,0.43784791222569974,0.3189433685837132,0.0900152320162252,0.228928136567488
silt,7,88,5,1.4,0.4175678931241432,0.2966628375930519,0.08757329169501091,0.209089545898041
silt,7,88,5,1.5,0.3980205415936534,0.2743462762393555,0.0857596467363213,0.18858662950303418
silt,7,88,5,1.6,0.37890325325745033,0.2517012755403968,0.08448732847368415,0.16721394706671264
silt,7,88,5,1.7,0.36000851330631445,0.22804533948827313,0.08351553134398802,0.14452980814428512
silt,7,88,5,1.8,0.3414331143142155,0.20144551361107943,0.08163456028754962,0.11981095332352981
silt,7,88,5,1.9,0.32334361103954645,0.17381165236544305,0.07956054404458503,0.09425110832085802
silt,7,88,5,2.0,0.3058924288426634,0.1509910399468051,0.0791497630071884,0.0718412769396167
sandy clay loam,60,13,27,0.8,0.5864533030007846,0.3861332487310021,0.18616901555464918,0.1999642331763529
